2022-12-08 18:10:58,086 ERROR   Thread-16 :15260 [internal_api.py:upload_file():1875] upload_file exception https://storage.googleapis.com/wandb-production.appspot.com/liukun6606/train/3twtbsha/wandb-metadata.json?Expires=1670580656&GoogleAccessId=wandb-production%40appspot.gserviceaccount.com&Signature=bMGlAvD5Twla2Hi%2FM4jghYOf6F9IFBUVcu1aDfDypTGtO5HeVN8ueL%2FilXp9qQLR53ZsF%2B5rSt%2FtAQ3Z72W1M%2B4qVEZT4lhhScWwG9Qi1NvRwAaerpQYlAVTRza4s350ngwNHrY4RJxT7xvgvfBHjo3OKexa8KhUQzIy4MfZ1VXQ%2FkB%2BnjSasfhLvx%2F1C2Zo4vj9GHCvZQToCTWWUzeUFcuWioqSlFI7rLN6xeMhNX1OhVrPIO6BXt2LqtZ%2FgCORWw8NsKKpXnEVaLqdJ4JbPW%2FZZ%2F6uFwhDOPcGRVS9n9zR%2BJn0Fbu63VeitGaXl2ur6UeVzgWzqnhvu0IuyUN9mw%3D%3D: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2022-12-08 18:10:58,086 ERROR   Thread-16 :15260 [internal_api.py:upload_file():1877] upload_file request headers: {'User-Agent': 'python-requests/2.28.1', 'Accept-Encoding': 'gzip, deflate, br', 'Accept': '*/*', 'Connection': 'keep-alive', 'Content-Length': '525'}
2022-12-08 18:10:58,086 ERROR   Thread-16 :15260 [internal_api.py:upload_file():1879] upload_file response body: 
2022-12-08 18:10:58,705 INFO    SenderThread:15260 [sender.py:transition_state():459] send defer: 7
2022-12-08 18:10:58,705 DEBUG   SenderThread:15260 [sender.py:send_request():316] send_request: poll_exit
2022-12-08 18:10:58,706 DEBUG   HandlerThread:15260 [handler.py:handle_request():141] handle_request: defer
2022-12-08 18:10:58,706 INFO    HandlerThread:15260 [handler.py:handle_request_defer():164] handle defer: 7
2022-12-08 18:10:58,707 DEBUG   SenderThread:15260 [sender.py:send_request():316] send_request: defer
2022-12-08 18:10:58,707 INFO    SenderThread:15260 [sender.py:send_request_defer():455] handle sender defer: 7
2022-12-08 18:10:58,707 INFO    SenderThread:15260 [dir_watcher.py:finish():362] shutting down directory watcher
2022-12-08 18:10:58,818 DEBUG   HandlerThread:15260 [handler.py:handle_request():141] handle_request: poll_exit
